property_id,location,property_type,bedrooms,bathrooms,sqft,year_built,property_age,price,price_per_sqft,estimated_monthly_rent,days_on_market,estimated_roi,city,state,zip_code,neighborhood,latitude,longitude,has_pool,has_garage,lot_size,neighborhood_score,date_listed
1,Westside,Single Family Home,2,3.0,1271.0,1965,60,379842,298.852871754524,3313,29,0.08466457105849275,Philadelphia,PA,95230,Westside,39.91171644904062,-75.19983419618389,False,False,0.41,7.406474357562466,2025-02-16 06:42:21.896536
2,Mountain View,Single Family Home,4,3.0,1931.0,2016,9,748756,387.7555670636976,4783,2,0.05665514533439465,New York,NY,78836,Mountain View,40.70816936346053,-74.00296456062718,False,False,1.08,6.331972471056167,2025-03-15 06:42:21.896536
3,Central District,Single Family Home,3,2.5,1871.0,1958,67,371367,198.48583645109568,3095,42,0.08000888608842466,Dallas,TX,82258,Central District,32.72848618924783,-96.7673202172136,True,False,0.69,5.430534165018488,2025-02-03 06:42:21.896536
4,Northend,Townhouse,4,2.0,1878.0,2009,16,524335,279.1986155484558,3201,185,0.05325850839634966,New York,NY,49986,Northend,40.692216797334346,-73.964816396504,False,False,0.48,5.613464615518436,2024-09-13 06:42:21.896536
5,Suburban Heights,Condominium,4,3.0,2167.0,2020,5,561676,259.1952007383479,3586,20,0.056613563691523226,Phoenix,AZ,34160,Suburban Heights,33.49515112636138,-112.10545411253233,False,True,1.39,6.709481237183957,2025-02-25 06:42:21.896536
6,Suburban Heights,Condominium,3,1.5,1357.0,1964,61,292663,215.66912306558586,2290,62,0.07389639277940839,Houston,TX,95595,Suburban Heights,29.756609729076565,-95.41967681648336,False,True,1.15,6.859166189195138,2025-01-14 06:42:21.896536
7,Downtown,Single Family Home,3,2.0,1524.0,2020,5,703436,461.5721784776903,4176,31,0.05123889024730039,Chicago,IL,89111,Downtown,41.88793272651225,-87.61906935517374,False,True,1.04,6.868439798592719,2025-02-14 06:42:21.896536
8,Lakefront,Single Family Home,6,2.0,2690.0,1990,35,790510,293.86988847583643,4961,6,0.05530834524547444,Philadelphia,PA,74929,Lakefront,39.92735399556033,-75.15935873274168,False,True,0.63,6.873720073114253,2025-03-11 06:42:21.896536
9,Southbay,Single Family Home,3,2.5,1489.0,1971,54,273835,183.90530557421087,2128,39,0.07325323643800098,Los Angeles,CA,83506,Southbay,34.02475401424437,-118.27761745309219,False,False,0.28,3.7847642018654426,2025-02-06 06:42:21.896536
10,Central District,Townhouse,5,1.0,2302.0,1973,52,433200,188.18418766290182,3163,16,0.06761772853185595,Chicago,IL,44911,Central District,41.89325194668023,-87.64720745360479,False,True,1.13,4.810430246598557,2025-03-01 06:42:21.896536
11,Downtown,Condominium,2,3.5,1325.0,1993,32,454646,343.12905660377356,3327,1,0.0678133756812993,Phoenix,AZ,97127,Downtown,33.45742639388856,-112.08067532510283,False,False,0.8,6.751048362455752,2025-03-16 06:42:21.896536
12,Mountain View,Single Family Home,3,2.5,1586.0,1950,75,371102,233.9861286254729,2740,45,0.06860097762879208,Dallas,TX,41821,Mountain View,32.82513514074029,-96.83204193573324,False,True,0.4,6.877231451961439,2025-01-31 06:42:21.896536
13,Riverside,Multi-Family,4,2.0,2234.0,1959,66,498506,223.14503133393018,4282,88,0.08307599106129113,Los Angeles,CA,85039,Riverside,34.04865985966358,-118.22565433736408,False,True,0.25,3.8215324860298705,2024-12-19 06:42:21.896536
14,Suburban Heights,Single Family Home,5,3.5,2263.0,2021,4,740032,327.013698630137,4415,19,0.05159149874600017,San Jose,CA,70535,Suburban Heights,37.327754508388,-121.83883001481294,False,False,0.32,6.056453215454313,2025-02-26 06:42:21.896536
15,Suburban Heights,Luxury Home,3,2.0,1629.0,2005,20,1001340,614.6961325966851,6263,22,0.055055425729522434,San Diego,CA,94458,Suburban Heights,32.73788876279269,-117.14540161424355,True,True,1.49,6.3237567760893825,2025-02-23 06:42:21.896536
16,Suburban Heights,Single Family Home,4,4.0,2223.0,1999,26,709873,319.3310841205578,4168,99,0.05045767341482209,Los Angeles,CA,22175,Suburban Heights,34.07790592676112,-118.19843513619614,True,True,1.34,5.414938876117755,2024-12-08 06:42:21.896536
17,Westside,Condominium,3,2.0,1645.0,1961,64,316808,192.5884498480243,2412,75,0.07136132925936214,Phoenix,AZ,64771,Westside,33.48918186529846,-112.05157146918735,False,True,1.39,7.311700384197591,2025-01-01 06:42:21.896536
18,Northend,Single Family Home,2,1.5,1301.0,2009,16,355759,273.45042275172943,2759,56,0.07306300051439317,San Antonio,TX,96925,Northend,29.449016163910127,-98.52900779259649,False,True,0.37,6.177098414049587,2025-01-20 06:42:21.896536
19,Eastwood,Multi-Family,4,3.0,1989.0,1975,50,563352,283.2337858220211,3578,12,0.05621522600434542,San Diego,CA,76358,Eastwood,32.675979240449266,-117.15400954981558,False,True,1.61,4.442167458967851,2025-03-05 06:42:21.896536
20,Suburban Heights,Single Family Home,4,2.5,1690.0,1990,35,507312,300.18461538461537,3120,108,0.053800738007380076,New York,NY,27327,Suburban Heights,40.664636763694055,-74.00776436184483,False,True,0.38,5.822297864680277,2024-11-29 06:42:21.896536
21,Southbay,Single Family Home,5,3.0,2369.0,1985,40,412501,174.12452511608274,3588,7,0.0843779287807787,Philadelphia,PA,57057,Southbay,39.92363495799189,-75.18059834323552,True,True,1.02,3.4731358504222003,2025-03-10 06:42:21.896536
22,Downtown,Single Family Home,3,4.0,1654.0,1972,53,645719,390.3984280532043,4013,44,0.05457733162567618,New York,NY,16150,Downtown,40.7403804735793,-73.96187624957676,False,False,1.27,7.959986449289927,2025-02-01 06:42:21.896536
23,Suburban Heights,Single Family Home,2,3.0,1555.0,1992,33,467345,300.54340836012864,3791,1,0.07734136451657768,Los Angeles,CA,14425,Suburban Heights,34.009441627214635,-118.24027577940235,False,False,0.55,5.263487599263929,2025-03-16 06:42:21.896536
24,Westside,Single Family Home,1,2.5,1324.0,1955,70,314058,237.20392749244712,2567,46,0.07808379343942838,New York,NY,26032,Westside,40.75105334858196,-74.04774914655596,False,True,0.56,6.860475507687566,2025-01-30 06:42:21.896536
25,Eastwood,Multi-Family,3,3.0,1339.0,2018,7,572823,427.79910380881256,3741,14,0.05836975819755841,Phoenix,AZ,12198,Eastwood,33.48085140468968,-112.08821986490717,False,True,0.32,5.184913972236827,2025-03-03 06:42:21.896536
26,Central District,Single Family Home,3,2.5,1924.0,1992,33,398833,207.29365904365903,3374,26,0.08151617343599953,San Jose,CA,70500,Central District,37.32040947022193,-121.83855336136853,False,False,0.32,4.456943151834047,2025-02-19 06:42:21.896536
